"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000550";"Gomera";0;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33642746.2642269;33831756.0893829;34398746.5752943;34965593.3465419;35910455.1440825;38556157.4585919;41012748.0393925;45548371.2675431;48193878.9805853;51784103.1209495;57074565.4092529;60853593.2576823;67089913.7011125;71623521.2115526;79180778.6164412;102794106.862007;129425927.864554;135848335.997982;143213113.944986;149257242.411032;151901442.658117;153412302.814262;156434608.696298;159078739.04169;161723191.144213;163045502.873597;164556559.37376;166067669.26914;167578585.62401;167767588.251783;169656512.844178;170978390.239649;172111669.313323;173056072.372827;174567102.917899;176644535.302753;178344664.861135;179666871.201536;181744007.596461;182121818.122149
"2";"000333";"La Palma";0;710626884.017437;710626884.017437;710626884.017437;710626884.017437;710626884.017437;710626884.017437;710626884.017437;711378653.855446;711378653.855446;711378653.855446;712317777.448114;712317777.448114;712505597.620623;712693417.793135;715134725.164322;716638621.064366;720400323.981298;725287368.379371;734497164.15468;748219370.650835;758556162.672683;772272877.797513;785238487.149776;795947215.334505;803840127.754428;806847341.000396;811921701.770121;814930030.26674;822638986.654757;829031763.291016;830536772.355591;832228538.705548;832792767.798628;833544648.070561;834484710.601876;835048795.755453;835801331.602693;835801331.602693;836741593.545739;837305356.847608;837305356.847608;837493180.366374;838245178.556242;838433357.050434;838621327.548522;839373947.814485;839562396.139758;839750244.629325;840690672.241208;841441913.298545;842381455.828548;843133520.990702;843321362.12402
"3";"999900240003";"S-BP0024000-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1130749.75810671;1130749.75810671;1130749.75810671;1130749.75810671;1696167.57728744
