"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000761";"Niihau";0;181176031.058233;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;180183337.035867;181176031.058233;186538882.068418;192894682.390621;201831838.069005;216330829.401907;231822166.20258;258638661.158112;279299162.573161;298768295.673649;325589920.041634;352413404.804004;376059797.913222;392949300.556922;407450372.04889;420956543.534105;443201795.650643;455913497.49919;457900194.258296;460283958.328461;461674690.134843;462667561.646718;463263216.007584;463660760.28626;464057871.136322;464852787.900034;465250187.777114;465647320.887968;466243302.260565;466640224.133302;466838857.62005;467633670.399322;468428292.167266;469024238.861277;469421828.442986;471011431.616095;472004378.790038;472203176.440496;473395173.499427;473792456.332245;473991106.841965
"2";"000217";"Kauai";0;211734740.870584;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211337872.489414;211734740.870584;213521315.549325;218285541.674592;226027026.066756;235155278.545532;243687032.575546;258567169.229465;289311747.923083;302405595.808895;317682958.149272;326808377.945297;333752643.840925;338316014.363478;347044150.656531;358351661.574735;375806606.919498;385724996.845794;387113441.588259;389494699.304959;390883144.962814;391676526.084243;391875005.943684;392469873.371143;392867083.533634;394057190.102359;394652140.984549;394850603.72764;395247548.324398;395247548.324398;395644250.52984;395644250.52984;395842621.828103;396239589.580701;396437897.856682;397032965.835184;397628011.726725;397628011.726725;398421409.90273;399214578.502422;399214578.502422
"3";"087415";"UNKNOWN";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1193864.82416916;1591839.10028458;1989803.39467335;2984731.59379649;5173575.81900573;9551058.4587822;28849219.8335712;39194042.1189721;53916496.7117636;58094186.7834787;59287821.0839756;60083590.550818;60083590.550818;60481604.9407208;60879607.8860128;61476325.1499591;61476325.1499591;61675282.3507597;61874285.0707395;61874285.0707395;61874285.0707395;61874285.0707395;61874285.0707395;61874285.0707395;61874285.0707395;62272158.7282684;62272158.7282684;62471168.2929187;62471168.2929187;62471168.2929187;62869028.3840559;62869028.3840559;63068006.7886615
"4";"999900140002";"S-BP0014000-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1192718.11176395;1987840.97270226;2385398.61326408;2385398.61326408;2584188.71658826;2584188.71658826;2584188.71658826;2584188.71658826;2584188.71658826;2584188.71658826;2584188.71658826;2584188.71658826;2584188.71658826;2584188.71658826;2782966.91830158;2782966.91830158;2782966.91830158;2782966.91830158;3180559.0790596;3180559.0790596;3180559.0790596;3180559.0790596;3180559.0790596;3180559.0790596;3180559.0790596
