"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000834";"Flores";0;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174224276.983382;174390220.883424;174556311.174947;174888472.25153;175220480.142507;175718661.090033;176548222.94494;178040936.144196;179865282.774296;183017010.974708;196622282.647509;209564256.949115;223832772.522148;238761088.658706;252196881.563973;276914213.283891;303947154.149656;312406527.771075;322689530.762634;329488543.783332;334132252.007994;337946358.525761;342092652.717827;345741934.131948;348560061.182137;350386375.9397;353039428.511288;354864378.323862;356190224.5519;358511512.176621;359672251.614444;361165876.33791;363819725.227046;365644905.443307;369624112.117522;371780873.5977;373936121.034994;376588987.46465;379241187.152617;381726736.421387
"2";"013383";"Corvo";0;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;28765052.8005738;29757241.7041781;30749525.1141717;31906912.9713299;32402906.3584313;32568275.2558236;34882541.0220106;38189253.487134;41660516.0967324;46288838.6820297;48602806.1770105;52735415.8164318;55711176.0228369;56703152.7787573;57529539.6171744;57860242.4552765;57860242.4552765;58521485.8749542;58852120.8359466;59182732.4373231;59182732.4373231;59182732.4373231;59348059.3037212;59348059.3037212;59348059.3037212;59513327.2208197;59513327.2208197;59678634.4410057;59678634.4410057;59678634.4410057;60174603.2450051;61001135.870816;61166521.6544158;61166521.6544158;61662477.7320774;61662477.7320774
"3";"999900250002";"S-BP0025000-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1324655.54507494;1655820.32415843;381726736.421387
