"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000466";"Pico";0;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450896855.449178;451064884.960841;451737062.216905;452409106.054471;453921818.970515;455771314.604017;458123859.642069;460980327.682646;464173957.119474;467702919.458551;479302718.874113;490904148.990027;502174131.914307;513600602.26734;524527964.609059;777626459.394238;796791095.391481;802336122.400445;808051178.541579;818302095.132225;822167226.977366;823848658.250327;826537678.996049;829226889.371024;830739468.958668;831412050.679294;833092923.371587;834102827.040187;834438945.726701;836118807.207075;836958822.868097;838639709.845563;839648220.463722;841663730.532742;843176023.371683;846033708.130721;847714356.393728;850402318.765524;851914408.067933;852586370.176289
"2";"000762";"Faial";0;166925614.060396;166925614.060396;166925614.060396;166925614.060396;166925614.060396;166925614.060396;166925614.060396;167093313.485476;167093313.485476;167093313.485476;167093313.485476;167093313.485476;167093313.485476;167093313.485476;167093313.485476;167597391.842028;168101507.88732;168941605.523113;170285296.98828;171797002.885013;177675176.521592;179355377.460665;181874725.929049;190775472.578625;197830113.023175;206228847.058417;212107035.664032;218991070.569395;777626459.394238;796791095.391481;802336122.400445;808051178.541579;818302095.132225;822167226.977366;823848658.250327;826537678.996049;829226889.371024;830739468.958668;831412050.679294;833092923.371587;834102827.040187;834438945.726701;836118807.207075;836958822.868097;838639709.845563;839648220.463722;841663730.532742;843176023.371683;846033708.130721;847714356.393728;850402318.765524;851914408.067933;852586370.176289
"3";"000651";"Sao Jorge";0;295662880.538104;295662880.538104;295662880.538104;295662880.538104;295662880.538104;295662880.538104;295662880.538104;298513364.554746;298513364.554746;298513364.554746;298513364.554746;298513364.554746;298513364.554746;298849193.707322;298849193.707322;299184224.247279;299687615.697941;300022762.022218;301700759.054601;304552621.621231;309081731.231586;313276060.660878;317302925.855294;323508509.919696;332060484.649448;343465045.618135;355381611.222421;377026405.925318;408570267.563335;433239836.448506;440458097.698921;450024286.075953;455562546.137459;458248283.987266;460262162.858687;463450055.025147;466806517.392411;467981358.464135;469659887.177287;470667026.747681;472344432.967758;473183487.324064;473687047.889834;476036926.320668;477044205.733993;479393669.864959;480736078.259854;483420927.861427;485267106.563224;487449073.787462;490638767.862458;492987964.0324;493995081.208471
"4";"000503";"Terceira";0;95348861.5236983;95348861.5236983;95348861.5236983;95348861.5236983;95348861.5236983;95348861.5236983;95348861.5236983;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96522112.3958735;96857390.2321553;97024933.3682346;97192495.7392178;97695349.8066268;97695349.8066268;100207961.851984;103558226.984241;107578265.1742;111598962.321534;113441224.081316;117628278.541117;120140805.027252;120475980.928298;124494952.193105;125164946.402117;126170289.265436;126170289.265436;126170289.265436;126337754.083957;126337754.083957;126505219.573915;126505219.573915;126505219.573915;126505219.573915;126672922.462666;126672922.462666;126840354.444053;127342655.658368;128514673.851648;128849615.124964;129017069.64098;130021786.361335;130189307.223221;130691955.85647;130859145.677287
"5";"013366";"Graciosa";0;63398638.9050219;63398638.9050219;63398638.9050219;63398638.9050219;63398638.9050219;63398638.9050219;63899329.710753;63899329.710753;63899329.710753;63899329.710753;63899329.710753;63899329.710753;63899329.710753;63899329.710753;64233037.3883622;65067135.7622814;66235110.2166529;67736742.4366634;69238183.9401987;70572614.7034569;74576856.6893177;76745857.9376295;80416581.5523286;86589298.216363;90759681.2214267;95764223.7626717;102436261.123878;109108574.887379;124456707.662824;136133575.58537;139971266.408202;142307290.74227;145810775.231524;147813038.893568;149648053.616501;151483017.588665;152317729.507759;153652715.110789;153819648.98758;154486873.634071;155988442.246684;156989843.558996;158658777.901812;159159416.453207;161161646.593733;162997551.220511;165333578.157224;166835729.774733;169338218.312101;171173610.476389;172842391.373896;174677752.840813;176513951.936195
"6";"999900140006";"S-BP0014000-6";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1841961.80204225;2511823.76030445;2679302.53127837;124494952.193105;125164946.402117;126170289.265436;126170289.265436;126170289.265436;126337754.083957;126337754.083957;126505219.573915;126505219.573915;126505219.573915;126505219.573915;126672922.462666;126672922.462666;126840354.444053;127342655.658368;128514673.851648;128849615.124964;129017069.64098;130021786.361335;130189307.223221;130691955.85647;130859145.677287
