"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"013296";"Santa Maria";0;115970567.167732;115970567.167732;115970567.167732;115970567.167732;115970567.167732;115970567.167732;115970567.167732;116485325.378857;116485325.378857;116485325.378857;116485325.378857;116485325.378857;116485325.378857;116828525.00393;117171715.794966;117857390.28457;118372860.934865;120089396.697154;123693183.210326;127297425.912409;132616258.406888;137589702.265728;141877815.209593;157997847.010655;167772962.002538;176862101.830618;184920177.031347;191778686.296759;207039957.456873;220413276.60342;222812993.362486;225042981.100756;227101035.962101;228301967.39092;229674310.598523;230017408.67742;231732041.334795;232246429.509877;232589425.135018;233275443.068539;233618574.394574;233961469.473877;233961469.473877;234647518.342634;234990488.589267;235333309.499212;236019245.168809;236876544.505546;237905189.018089;238419884.39617;239620440.971562;240306347.697598;241163948.32406
"2";"999900125004";"S-BP0012500-4";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1025633.2619977;3247970.16564679;15897090.1932042;20170795.6208951;22734792.0888286;24102359.6814466;24957154.2804005;25982899.545615;26837609.9735119;27521330.6349678;27863271.5889392;28376184.0003588;28376184.0003588;28889058.0904241;29059903.2277107;29059903.2277107;29401709.9883258;29743631.5689123;29743631.5689123;29743631.5689123;30256457.8280501;30598366.2297254;30598366.2297254;30940451.5558209;31111426.5488153;31453326.4885819;31966320.0135431;31966320.0135431
"3";"999900125005";"S-BP0012500-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2051033.90664577;3931198.30715346;15897090.1932042;20170795.6208951;22734792.0888286;24102359.6814466;24957154.2804005;25982899.545615;26837609.9735119;27521330.6349678;27863271.5889392;28376184.0003588;28376184.0003588;28889058.0904241;29059903.2277107;29059903.2277107;29401709.9883258;29743631.5689123;29743631.5689123;29743631.5689123;30256457.8280501;30598366.2297254;30598366.2297254;30940451.5558209;31111426.5488153;31453326.4885819;31966320.0135431;31966320.0135431
"4";"999900130003";"S-BP0013000-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3247970.16564679;15897090.1932042;20170795.6208951;22734792.0888286;24102359.6814466;24957154.2804005;25982899.545615;26837609.9735119;27521330.6349678;27863271.5889392;28376184.0003588;28376184.0003588;28889058.0904241;29059903.2277107;29059903.2277107;29401709.9883258;29743631.5689123;29743631.5689123;29743631.5689123;30256457.8280501;30598366.2297254;30598366.2297254;30940451.5558209;31111426.5488153;31453326.4885819;31966320.0135431;31966320.0135431
"5";"999900235003";"S-BP0023500-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1028324.67549038;1028324.67549038;1371099.56695652;1371099.56695652;1371099.56695652;1371099.56695652
