"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000466";"Pico";0;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450560443.402098;450896855.449179;451064884.960842;451737062.216907;452409106.054472;453921818.970515;455771314.604018;458123859.64207;460980327.682647;464173957.119476;467702919.458553;479302718.87411;490904148.990035;502174131.91431;513600602.267334;524527964.609067;797103178.259647;817107184.301157;822652211.310119;828871041.66505;839457726.290989;843658624.401151;845340055.674118;848029076.41983;850886204.36213;852566679.237283;853239260.957908;854920133.650198;856097978.272389;856602072.009476;858281933.48985;859289933.77884;861138763.466298;863322439.384162;865841606.287252;867353899.126201;870379480.421338;872060128.684349;874748094.04557;876763934.465123;877435896.573482
"2";"000762";"Faial";0;183883998.814005;183883998.814005;183883998.814005;183883998.814005;183883998.814005;183883998.814005;183883998.814005;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184555776.595638;185059892.640929;185899990.276723;187243681.74189;188755387.638621;194801532.725896;196481733.664969;199001082.133348;208069431.209284;215124101.537086;223690674.705335;230408433.180145;237628194.163292;797103178.259647;817107184.301157;822652211.310119;828871041.66505;839457726.290989;843658624.401151;845340055.674118;848029076.41983;850886204.36213;852566679.237283;853239260.957908;854920133.650198;856097978.272389;856602072.009476;858281933.48985;859289933.77884;861138763.466298;863322439.384162;865841606.287252;867353899.126201;870379480.421338;872060128.684349;874748094.04557;876763934.465123;877435896.573482
"3";"000651";"Sao Jorge";0;295662880.538136;295662880.538136;295662880.538136;295662880.538136;295662880.538136;295662880.538136;295662880.538136;298513364.554776;298513364.554776;298513364.554776;298513364.554776;298513364.554776;298513364.554776;298849193.707354;298849193.707354;299184224.247309;299687615.697968;300022762.022249;301700759.054632;304552621.621263;309081731.231622;313276060.660907;317302925.855322;323508509.919719;332060484.649456;343465045.618162;355381611.222442;377026405.925321;408570267.563338;433239836.44851;440458097.698926;450024286.075957;455562546.137459;458248283.987264;460262162.858684;463450055.02515;466806517.39242;467981358.464141;469659887.177294;470667026.74769;472344432.967775;473183487.324077;473687047.889849;476036926.320681;477044205.734006;479393669.864968;480736078.259865;483420927.861433;485267106.563229;487449073.787466;490638767.862467;492987964.03241;493995081.208485
"4";"999900200002";"S-BP0020000-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1007268.76352596;1007268.76352596;1007268.76352596;1007268.76352596;1007268.76352596;863322439.384162;865841606.287252;867353899.126201;870379480.421338;872060128.684349;874748094.04557;876763934.465123;877435896.573482
