"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000761";"Niihau";0;106060516.936396;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;105067822.91403;106060516.936396;109833612.343384;113805217.509774;119961238.853341;129492972.216958;137634064.424801;154119258.239898;166434075.207228;178351768.04442;195237025.41634;209937520.332557;221657999.548086;230993877.325136;241122945.703582;250257088.653636;264157783.327199;271703000.359545;273292254.838262;275079876.896672;275874277.09164;276668583.302362;277065524.816182;277065524.816182;277264007.856201;277859969.208696;278257369.085776;278455917.31726;278654374.352827;279051296.225563;279249929.71231;279647046.929626;279845572.387028;280441519.081038;280640265.879347;281434794.110528;282427779.075832;282427779.075832;283023521.351342;283222037.282923;283222037.282923
"2";"000217";"Kauai";0;1409665632.99107;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1407484287.68778;1409665632.99107;1421175369.30994;1445186270.18952;1474361688.07993;1508689222.82879;1543605331.91162;1600940181.7749;1658864012.51872;1695575051.61653;1737635369.04283;1768184059.70798;1790799747.7997;1806473394.55661;1830872400.73437;1857052138.76208;1899302054.4396;1932020976.16581;1936778509.87532;1942334069.67042;1947092696.18698;1949472425.23916;1950861151.48454;1952842975.67941;1955223819.96146;1957603338.2209;1958594931.11001;1958991534.69631;1959785363.59935;1960578126.0434;1960974828.24885;1961768893.50263;1963157652.18354;1964149314.88968;1965339564.30469;1966927165.90675;1968116773.78452;1969108925.47967;1970497584.82227;1972480065.94908;1973273378.22845
"3";"999900140001";"S-BP0014000-1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1192718.11176491;1987840.97270775;2385398.61326933;2385398.61326933;2584188.7165935;2584188.7165935;2584188.7165935;2584188.7165935;2584188.7165935;2584188.7165935;2584188.7165935;2584188.7165935;2584188.7165935;2584188.7165935;2782966.91830492;2782966.91830492;2782966.91830492;2782966.91830492;3180559.07906461;3180559.07906461;3180559.07906461;3180559.07906461;3180559.07906461;3180559.07906461;3180559.07906461
