"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000466";"Pico";0;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450560443.402111;450896855.449191;451064884.960855;451737062.216919;452409106.054485;453921818.970526;455771314.604027;458123859.642081;460980327.682662;464173957.119488;467702919.458563;479302718.874119;490904148.990044;502174131.914309;513600602.267346;524527964.609076;797103178.25965;817107184.301166;822652211.310132;828871041.665066;839457726.291004;843658624.401157;845340055.674123;848029076.419843;850886204.362141;852566679.237292;853239260.957915;854920133.650211;856097978.27241;856602072.009497;858281933.489872;859289933.778859;861138763.466309;863322439.384171;865841606.287258;867353899.126205;870379480.421343;872060128.68435;874748094.045569;876763934.465115;877435896.573477
"2";"000762";"Faial";0;183883998.814006;183883998.814006;183883998.814006;183883998.814006;183883998.814006;183883998.814006;183883998.814006;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184051698.239085;184555776.595638;185059892.64093;185899990.276723;187243681.741892;188755387.638623;194801532.725899;196481733.664971;199001082.13335;208069431.209281;215124101.537083;223690674.70533;230408433.180138;237628194.163296;797103178.25965;817107184.301166;822652211.310132;828871041.665066;839457726.291004;843658624.401157;845340055.674123;848029076.419843;850886204.362141;852566679.237292;853239260.957915;854920133.650211;856097978.27241;856602072.009497;858281933.489872;859289933.778859;861138763.466309;863322439.384171;865841606.287258;867353899.126205;870379480.421343;872060128.68435;874748094.045569;876763934.465115;877435896.573477
"3";"000651";"Sao Jorge";0;185666532.685021;185666532.685021;185666532.685021;185666532.685021;185666532.685021;185666532.685021;185666532.685021;187005743.042508;187005743.042508;187005743.042508;187005743.042508;187005743.042508;187005743.042508;187005743.042508;187005743.042508;187340773.582465;187508345.569552;187843491.893831;189017761.992989;191198096.345934;194216249.216575;196228680.126933;198744597.257127;202264385.252003;207626886.158668;215507122.371943;221372016.872955;232604956.237397;247691477.948691;258422992.855321;262113962.208182;265634495.51878;267142967.583891;268316925.97483;269155114.446192;270663758.460256;271836786.212738;272172002.796456;272172002.796456;272507382.507614;273513192.851743;273848483.920297;274016103.973949;274854067.875923;275189624.901185;276195014.177728;277033334.594505;278206719.226179;278877639.951411;279884097.776154;281058261.984737;282231718.361977;282567066.843003
"4";"013366";"Graciosa";0;62230287.6347415;62230287.6347415;62230287.6347415;62230287.6347415;62230287.6347415;62230287.6347415;62730978.4404724;62730978.4404724;62730978.4404724;62730978.4404724;62730978.4404724;62730978.4404724;62730978.4404724;62730978.4404724;63064686.1180861;63898784.4920068;65066758.9463778;66401568.9528666;67402501.3535664;68570038.3886814;71239002.7159379;72740433.6310303;75743473.762279;79246139.8227859;82415199.3805907;86585239.2696266;92756564.2129586;98928331.652396;112106919.265395;122281935.35729;125285142.061887;126953616.983455;129956393.611242;131625000.322978;132959363.053277;134794330.004865;135462193.637372;136296582.338951;136296582.338951;136963806.985442;138131713.431596;138966195.717634;140468204.338665;140968842.890063;142303523.787597;143805682.163397;145974805.71116;147143210.192112;148978744.705417;150647185.105676;152315966.003182;153651128.541663;155487327.637047
"5";"999900200002";"S-BP0020000-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1007268.76352453;1007268.76352453;1007268.76352453;1007268.76352453;1007268.76352453;863322439.384171;865841606.287258;867353899.126205;870379480.421343;872060128.68435;874748094.045569;876763934.465115;877435896.573477
