"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000651";"Sao Jorge";0;38971228.1381166;38971228.1381166;38971228.1381166;38971228.1381166;38971228.1381166;38971228.1381166;38971228.1381166;40482492.8311923;40482492.8311923;40482492.8311923;40482492.8311923;40482492.8311923;40482492.8311923;40818307.0403044;40818307.0403044;40818307.0403044;40986229.9677725;40986229.9677725;41322074.6852291;41490011.4172466;42161633.7654946;42833275.8916841;43337013.6439073;44344203.9575388;45687318.6463339;47533223.6557367;50729158.580621;58958428.1335876;64671671.9434433;71055306.2195253;73239646.5853281;76935062.5448184;78446863.4584475;79454844.7620599;80462724.3132527;81134625.0619276;82478828.7816672;82982929.2813845;83486624.4505794;83822623.0399525;84326416.4127316;84662407.2456551;84998347.7577736;85670612.1731074;85670612.1731074;86006775.2681868;86342863.6066511;87183157.118505;87687061.2544968;88190937.8671801;89030807.0123096;89702868.0583284;90038900.0628452
"2";"000503";"Terceira";0;415476594.36069;415476594.36069;415476594.36069;415476594.36069;415476594.36069;415476594.36069;415476594.36069;416649845.232865;416649845.232865;416649845.232865;416649845.232865;416985147.670634;416985147.670634;417152915.412344;417152915.412344;417989550.34513;419666087.774341;423523320.694189;426876031.914941;430731933.096846;439615794.187787;449338820.25438;462075641.041571;480008787.479391;492578196.000026;508997481.359196;523912501.868161;540166882.48752;572011800.632867;598819688.842985;605692122.836641;615917056.82538;624129652.594187;632174023.46977;636197899.298373;639216175.782619;641730492.482333;644917399.010239;646760994.329335;649107948.902573;650615857.075954;652292422.248153;655310125.182423;656652015.654062;659837759.790375;663524427.847075;668888935.857149;671906909.546761;675931377.717016;681296423.253863;683477284.550849;688339979.215255;690352214.74934
"3";"113877";"UNKNOWN";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;167812.097217083;503423.70994401;439615794.187787;449338820.25438;462075641.041571;480008787.479391;492578196.000026;508997481.359196;523912501.868161;540166882.48752;572011800.632867;598819688.842985;605692122.836641;615917056.82538;624129652.594187;632174023.46977;636197899.298373;639216175.782619;641730492.482333;644917399.010239;646760994.329335;649107948.902573;650615857.075954;652292422.248153;655310125.182423;656652015.654062;659837759.790375;663524427.847075;668888935.857149;671906909.546761;675931377.717016;681296423.253863;683477284.550849;688339979.215255;690352214.74934
"4";"999900140005";"S-BP0014000-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1841961.80204153;2511823.76030517;2679302.5312798;615917056.82538;624129652.594187;632174023.46977;636197899.298373;639216175.782619;641730492.482333;644917399.010239;646760994.329335;649107948.902573;650615857.075954;652292422.248153;655310125.182423;656652015.654062;659837759.790375;663524427.847075;668888935.857149;671906909.546761;675931377.717016;681296423.253863;683477284.550849;688339979.215255;690352214.74934
