"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000061";"Hawaii";0;10357154004.2302;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10353119259.92;10359171365.5747;10375717802.8764;10395473216.7416;10426519898.8865;10458963577.4964;10488790670.5954;10519223795.5284;10550258618.7225;10594784753.1998;10645554778.3043;10680407113.6626;10714456039.6394;10754340057.7608;10798468631.0077;10899588674.6003;11001327979.2997;11036785006.5161;11072638548.3161;11100238802.3887;11118361575.4628;11130041791.7158;11145141739.373;11157228307.193;11172326609.2398;11183207299.1268;11191466716.5214;11198918627.8621;11208383743.2574;11214422263.9602;11222072501.2744;11229519377.5758;11241396215.4339;11251262604.8906;11255493337.8929;11267770563.2932;11282664643.2952;11293333348.1608;11300176249.1154;11303398250.2236
"2";"000172";"Maui";0;95242579.0788645;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;94441125.3502384;95242579.0788645;104658833.832471;107275540.148357;112744316.358716;120219765.810848;126228953.227854;133652116.788296;140872038.27842;148086233.142536;156501611.405723;160109527.59716;165125078.983194;168534531.403724;172342878.017749;188377868.93629;201471785.407399;205288668.696899;209127170.715198;211542786.129485;212344426.340004;212745240.654023;213346397.706434;213546740.412122;213747114.496318;213947448.073586;214548584.146634;214949360.772328;214949360.772328;215149778.641781;215550627.639542;215550627.639542;215751056.179961;216352231.963512;216752917.050068;217755003.839166;218957443.502858;220170812.831895;221172937.355639;221373334.197505
"3";"999900210001";"S-BP0021000-1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1610329.58230734;11222072501.2744;11229519377.5758;11241396215.4339;11251262604.8906;11255493337.8929;11267770563.2932;11282664643.2952;11293333348.1608;11300176249.1154;11303398250.2236
